cidr,country,region,city,asn,is_vpn_proxy,provider
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"85.190.106.223/32","NL","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"171.244.199.151/32","VN","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"78.110.155.229/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"31.41.228.112/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"83.147.217.103/32","IR","","Unknown","","true","proxifly-free-proxy-list"
"85.93.9.12/32","DE","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"144.91.73.196/32","DE","","Nuremberg","","true","proxifly-free-proxy-list"
"65.21.252.66/32","FI","","Helsinki","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"194.87.200.213/32","DE","","Unknown","","true","proxifly-free-proxy-list"
"95.181.160.37/32","RU","","Barabinsk","","true","proxifly-free-proxy-list"
"217.67.182.6/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"80.248.53.90/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"194.88.150.90/32","BG","","Sofia","","true","proxifly-free-proxy-list"
"109.124.73.231/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"213.33.186.254/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"185.87.255.54/32","DE","","Düsseldorf","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.22/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.41/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.50/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.25/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.40/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.23/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
